Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime
43,No,Travel_Frequently,Research & Development,28,Medical,171,2,Female,72,4,1,Research Scientist,3,Single,4739,16090,4,Y,No
50,No,Travel_Frequently,Sales,12,Marketing,174,3,Female,77,3,3,Sales Executive,4,Single,9208,6645,4,Y,No
31,Yes,Travel_Rarely,Sales,20,Life Sciences,175,2,Female,71,1,2,Sales Executive,3,Married,4559,24788,3,Y,Yes
41,No,Travel_Rarely,Sales,9,Life Sciences,176,3,Male,96,3,3,Sales Executive,3,Divorced,8189,21196,3,Y,Yes
26,No,Travel_Rarely,Human Resources,25,Life Sciences,177,3,Female,61,3,1,Human Resources,3,Married,2942,8916,1,Y,No
36,No,Travel_Rarely,Research & Development,6,Medical,178,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,Y,No
51,Yes,Travel_Frequently,Research & Development,8,Life Sciences,179,1,Male,53,1,3,Manufacturing Director,4,Single,10650,25150,2,Y,No
39,No,Travel_Rarely,Sales,4,Life Sciences,182,4,Female,47,2,2,Sales Executive,3,Married,5902,14590,4,Y,No
25,No,Travel_Rarely,Sales,28,Life Sciences,183,1,Male,41,2,2,Sales Executive,3,Married,8639,24835,2,Y,No
30,No,Travel_Rarely,Human Resources,9,Human Resources,184,3,Male,48,3,2,Human Resources,4,Married,6347,13982,0,Y,Yes
32,Yes,Travel_Rarely,Research & Development,9,Medical,190,1,Female,41,3,1,Laboratory Technician,1,Single,4200,10224,7,Y,No
45,No,Travel_Rarely,Research & Development,29,Medical,192,3,Male,83,3,1,Research Scientist,4,Single,3452,9752,5,Y,No
38,No,Travel_Rarely,Research & Development,3,Technical Degree,193,4,Female,32,3,2,Research Scientist,3,Single,4317,2302,3,Y,Yes
30,No,Travel_Rarely,Research & Development,18,Life Sciences,194,1,Female,75,3,1,Research Scientist,3,Single,2632,23910,1,Y,No
32,No,Travel_Frequently,Sales,9,Medical,195,4,Male,35,1,2,Sales Executive,4,Divorced,4668,22812,0,Y,No
30,No,Travel_Rarely,Research & Development,5,Technical Degree,197,4,Female,84,3,1,Research Scientist,1,Divorced,3204,10415,5,Y,No
30,No,Travel_Rarely,Research & Development,2,Medical,198,2,Male,35,2,1,Laboratory Technician,4,Single,2720,11162,0,Y,No
41,No,Travel_Frequently,Research & Development,10,Life Sciences,199,4,Male,91,2,4,Manager,1,Divorced,17181,12888,4,Y,No
41,No,Travel_Rarely,Research & Development,9,Life Sciences,200,3,Male,94,3,1,Laboratory Technician,1,Married,2238,6961,2,Y,No
19,No,Travel_Rarely,Research & Development,3,Medical,201,2,Female,79,3,1,Laboratory Technician,2,Single,1483,16102,1,Y,No
40,No,Travel_Frequently,Research & Development,26,Medical,202,2,Female,54,3,2,Research Scientist,2,Divorced,5605,8504,1,Y,No
35,No,Travel_Rarely,Sales,1,Marketing,204,3,Male,94,3,3,Sales Executive,2,Married,7295,11439,1,Y,No
53,No,Travel_Rarely,Sales,6,Marketing,205,2,Male,34,3,2,Sales Representative,3,Married,2306,16047,2,Y,Yes
45,No,Travel_Rarely,Research & Development,9,Life Sciences,206,2,Male,60,3,2,Laboratory Technician,2,Divorced,2348,10901,8,Y,No
32,No,Travel_Frequently,Sales,8,Marketing,207,2,Female,43,3,3,Sales Executive,4,Single,8998,15589,1,Y,No
29,No,Non-Travel,Research & Development,1,Technical Degree,208,4,Male,41,3,2,Manufacturing Director,3,Married,4319,26283,1,Y,No
51,No,Travel_Rarely,Research & Development,7,Medical,211,2,Male,34,2,2,Manufacturing Director,3,Married,6132,13983,2,Y,No
58,No,Travel_Rarely,Research & Development,9,Medical,214,2,Female,75,2,1,Research Scientist,2,Married,3346,11873,4,Y,Yes
40,No,Travel_Rarely,Sales,4,Marketing,215,3,Male,67,2,3,Sales Executive,4,Married,10855,8552,7,Y,No
34,No,Travel_Frequently,Sales,2,Marketing,216,3,Female,75,3,1,Sales Representative,3,Married,2231,11314,6,Y,No
22,No,Travel_Rarely,Research & Development,19,Medical,217,3,Male,80,3,1,Research Scientist,4,Married,2323,11992,1,Y,No
27,No,Non-Travel,Research & Development,9,Medical,218,4,Male,57,3,1,Research Scientist,2,Divorced,2024,5970,6,Y,No
28,No,Travel_Rarely,Research & Development,21,Medical,221,3,Male,42,3,1,Research Scientist,4,Married,2713,6672,1,Y,No
57,No,Travel_Rarely,Research & Development,24,Life Sciences,223,3,Male,83,4,3,Healthcare Representative,4,Divorced,9439,23402,3,Y,Yes
27,No,Non-Travel,Research & Development,3,Medical,224,3,Male,79,2,1,Research Scientist,3,Divorced,2566,25326,1,Y,Yes
50,No,Travel_Rarely,Research & Development,11,Life Sciences,226,3,Female,53,3,5,Manager,2,Single,19926,17053,3,Y,No
41,No,Travel_Rarely,Research & Development,14,Life Sciences,227,1,Male,56,3,1,Research Scientist,3,Divorced,2451,4609,4,Y,No
30,No,Travel_Rarely,Sales,5,Life Sciences,228,2,Female,41,3,3,Sales Executive,4,Married,9419,8053,2,Y,No
38,No,Travel_Rarely,Sales,1,Life Sciences,230,1,Female,59,2,2,Sales Executive,4,Single,8686,12930,4,Y,No
32,No,Travel_Rarely,Research & Development,6,Life Sciences,231,3,Male,43,3,1,Research Scientist,3,Single,3038,12430,3,Y,No
27,No,Travel_Rarely,Research & Development,17,Technical Degree,233,3,Male,51,3,1,Research Scientist,2,Married,3058,13364,0,Y,Yes
19,Yes,Travel_Frequently,Sales,1,Technical Degree,235,3,Female,100,1,1,Sales Representative,1,Single,2325,20989,0,Y,No
36,No,Travel_Frequently,Research & Development,3,Medical,238,4,Male,30,3,1,Laboratory Technician,2,Single,2088,15062,4,Y,No
30,No,Non-Travel,Research & Development,9,Medical,239,3,Male,66,3,2,Laboratory Technician,1,Divorced,3072,11012,1,Y,No
45,No,Travel_Rarely,Sales,4,Life Sciences,240,3,Female,30,3,2,Sales Executive,1,Divorced,5006,6319,4,Y,Yes
56,No,Travel_Rarely,Research & Development,8,Life Sciences,241,3,Female,67,3,1,Research Scientist,1,Divorced,4257,13939,4,Y,Yes
33,No,Travel_Rarely,Research & Development,2,Life Sciences,242,3,Male,90,3,1,Research Scientist,4,Single,2500,10515,0,Y,No
19,Yes,Travel_Rarely,Research & Development,2,Life Sciences,243,2,Male,47,2,1,Laboratory Technician,4,Single,1102,9241,1,Y,No
46,No,Travel_Rarely,Sales,1,Marketing,244,2,Female,92,3,3,Sales Executive,1,Divorced,10453,2137,1,Y,No
38,No,Travel_Rarely,Research & Development,9,Life Sciences,245,3,Female,75,3,1,Laboratory Technician,4,Single,2288,6319,1,Y,No
31,No,Travel_Rarely,Research & Development,12,Medical,246,3,Female,95,3,1,Research Scientist,4,Married,3929,6984,8,Y,Yes
34,No,Travel_Rarely,Research & Development,27,Medical,247,4,Female,95,3,1,Research Scientist,2,Single,2311,5711,2,Y,No
41,Yes,Travel_Rarely,Sales,20,Marketing,248,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Y,Yes
50,No,Travel_Rarely,Research & Development,1,Medical,249,3,Male,86,2,1,Laboratory Technician,3,Married,3690,3425,2,Y,No
53,No,Travel_Rarely,Research & Development,13,Medical,250,4,Female,57,4,2,Manufacturing Director,1,Divorced,4450,26250,1,Y,No
33,No,Travel_Rarely,Research & Development,14,Medical,252,4,Female,72,3,1,Research Scientist,2,Married,2756,4673,1,Y,No
40,No,Travel_Rarely,Research & Development,4,Medical,253,4,Female,46,3,5,Manager,3,Married,19033,6499,1,Y,No
55,No,Travel_Rarely,Research & Development,14,Medical,254,3,Male,61,4,5,Research Director,2,Single,18722,13339,8,Y,No
34,No,Travel_Frequently,Research & Development,2,Life Sciences,256,4,Male,45,2,2,Manufacturing Director,3,Married,9547,14074,1,Y,No
51,No,Travel_Rarely,Research & Development,3,Medical,258,4,Female,98,3,4,Healthcare Representative,2,Single,13734,7192,3,Y,No
52,No,Travel_Rarely,Research & Development,1,Life Sciences,259,3,Male,65,2,5,Manager,3,Married,19999,5678,0,Y,No
27,No,Travel_Rarely,Research & Development,9,Medical,260,4,Female,99,3,1,Research Scientist,2,Single,2279,11781,1,Y,No
35,Yes,Travel_Rarely,Research & Development,23,Life Sciences,261,2,Male,50,2,2,Manufacturing Director,3,Married,5916,15497,3,Y,Yes
43,No,Non-Travel,Research & Development,7,Medical,262,4,Male,37,4,1,Research Scientist,4,Divorced,2089,5228,4,Y,No
45,No,Non-Travel,Research & Development,2,Medical,264,1,Male,65,2,4,Manager,4,Married,16792,20462,9,Y,No
37,No,Travel_Rarely,Research & Development,21,Life Sciences,267,2,Male,65,4,1,Research Scientist,1,Married,3564,22977,1,Y,Yes
35,No,Travel_Frequently,Research & Development,2,Medical,269,2,Female,37,3,2,Laboratory Technician,2,Single,4425,15986,5,Y,No
42,No,Non-Travel,Research & Development,21,Medical,270,3,Female,36,3,2,Manufacturing Director,3,Divorced,5265,16439,2,Y,No
38,No,Travel_Rarely,Research & Development,2,Life Sciences,271,4,Male,88,3,2,Manufacturing Director,3,Married,6553,7259,9,Y,No
38,No,Travel_Rarely,Research & Development,29,Technical Degree,273,4,Male,54,3,2,Manufacturing Director,4,Married,6261,4185,3,Y,No
27,No,Travel_Frequently,Research & Development,1,Technical Degree,274,3,Male,60,2,2,Manufacturing Director,1,Married,4298,9679,5,Y,No
49,No,Non-Travel,Research & Development,18,Life Sciences,275,4,Male,92,3,2,Manufacturing Director,4,Divorced,6804,23793,1,Y,Yes
34,No,Travel_Frequently,Research & Development,10,Medical,277,4,Male,43,3,1,Research Scientist,3,Divorced,3815,5972,1,Y,Yes
40,No,Travel_Rarely,Research & Development,19,Medical,281,3,Male,99,3,2,Laboratory Technician,4,Married,2741,16523,8,Y,Yes
38,Yes,Travel_Rarely,Research & Development,29,Medical,282,2,Male,70,3,2,Healthcare Representative,1,Married,6673,11354,7,Y,Yes
29,Yes,Travel_Rarely,Sales,27,Marketing,283,2,Female,35,3,3,Sales Executive,4,Married,7639,24525,1,Y,No
22,No,Travel_Rarely,Research & Development,5,Life Sciences,284,4,Male,60,4,1,Research Scientist,2,Divorced,2328,12392,1,Y,Yes
36,No,Travel_Frequently,Research & Development,18,Medical,286,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,Y,No
